gw,element,name,position,team_name,pred_points,actual_points,minutes,in_xi,is_captain,is_vice
6,286,Zach_Marsh,FWD,Crystal Palace,0.04017664,0.0,0.0,0,0,0
7,670,Robin_Roefs,GK,Sunderland,3.4045038,2.0,90.0,1,0,0
7,7,Riccardo_Calafiori,DEF,Arsenal,4.1512094,6.0,74.0,1,0,0
7,260,Marc_Guéhi,DEF,Man City,3.1722598,3.0,90.0,1,0,0
7,575,Micky_van de Ven,DEF,Spurs,2.8677597,2.0,90.0,1,0,0
7,449,Bruno_Borges Fernandes,MID,Man Utd,5.472763,3.0,90.0,1,0,1
7,82,Antoine_Semenyo,MID,Man City,5.254099,18.0,90.0,1,0,0
7,237,Enzo_Fernández,MID,Chelsea,5.1674533,2.0,90.0,1,0,0
7,16,Bukayo_Saka,MID,Arsenal,5.1209574,8.0,90.0,1,0,0
7,582,Mohammed_Kudus,MID,Spurs,3.4147873,12.0,89.0,1,0,0
7,430,Erling_Haaland,FWD,Man City,6.112057,8.0,90.0,1,1,0
7,283,Jean-Philippe_Mateta,FWD,Crystal Palace,4.2343493,2.0,69.0,1,0,0
7,602,Krisztián_Hegyi,GK,West Ham,0.05409228,0.0,0.0,0,0,0
7,317,Joachim_Andersen,DEF,Fulham,2.1520667,3.0,90.0,0,0,0
7,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.07298657,0.0,0.0,0,0,0
7,252,Marc_Guiu Paz,FWD,Chelsea,0.22185348,1.0,16.0,0,0,0
8,670,Robin_Roefs,GK,Sunderland,3.6122358,7.0,90.0,1,0,0
8,260,Marc_Guéhi,DEF,Man City,3.7884138,4.0,90.0,1,0,0
8,7,Riccardo_Calafiori,DEF,Arsenal,3.5105534,6.0,90.0,1,0,0
8,575,Micky_van de Ven,DEF,Spurs,2.7810571,0.0,90.0,1,0,0
8,16,Bukayo_Saka,MID,Arsenal,4.770815,7.0,90.0,1,0,1
8,82,Antoine_Semenyo,MID,Man City,4.7686076,4.0,90.0,1,0,0
8,237,Enzo_Fernández,MID,Chelsea,3.8867092,0.0,0.0,1,0,0
8,582,Mohammed_Kudus,MID,Spurs,3.7952604,2.0,90.0,1,0,0
8,449,Bruno_Borges Fernandes,MID,Man Utd,3.7156072,8.0,84.0,1,0,0
8,430,Erling_Haaland,FWD,Man City,6.6804914,13.0,90.0,1,1,0
8,283,Jean-Philippe_Mateta,FWD,Crystal Palace,4.6574845,17.0,90.0,1,0,0
8,602,Krisztián_Hegyi,GK,West Ham,0.044115428,0.0,0.0,0,0,0
8,74,Adrien_Truffert,DEF,Bournemouth,2.0121665,1.0,90.0,0,0,0
8,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.059181787,0.0,0.0,0,0,0
8,252,Marc_Guiu Paz,FWD,Chelsea,0.42795905,1.0,45.0,0,0,0
9,670,Robin_Roefs,GK,Sunderland,3.4031727,4.0,90.0,1,0,0
9,7,Riccardo_Calafiori,DEF,Arsenal,3.8786948,6.0,81.0,1,0,0
9,260,Marc_Guéhi,DEF,Man City,3.5922158,4.0,90.0,1,0,0
9,74,Adrien_Truffert,DEF,Bournemouth,3.5407233,10.0,90.0,1,0,0
9,82,Antoine_Semenyo,MID,Man City,6.2163596,3.0,90.0,1,0,1
9,449,Bruno_Borges Fernandes,MID,Man Utd,5.615661,4.0,90.0,1,0,0
9,16,Bukayo_Saka,MID,Arsenal,5.090649,3.0,65.0,1,0,0
9,299,Iliman_Ndiaye,MID,Everton,4.794902,2.0,90.0,1,0,0
9,237,Enzo_Fernández,MID,Chelsea,3.5843136,2.0,90.0,1,0,0
9,430,Erling_Haaland,FWD,Man City,6.651922,2.0,90.0,1,1,0
9,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.299972,2.0,90.0,1,0,0
9,602,Krisztián_Hegyi,GK,West Ham,0.06125852,0.0,0.0,0,0,0
9,575,Micky_van de Ven,DEF,Spurs,2.44176,23.0,90.0,0,0,0
9,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.0931388,0.0,0.0,0,0,0
9,252,Marc_Guiu Paz,FWD,Chelsea,0.9987498,2.0,75.0,0,0,0
10,670,Robin_Roefs,GK,Sunderland,3.7297862,2.0,90.0,1,0,0
10,260,Marc_Guéhi,DEF,Man City,4.368046,10.0,90.0,1,0,0
10,575,Micky_van de Ven,DEF,Spurs,3.5053406,2.0,90.0,1,0,0
10,7,Riccardo_Calafiori,DEF,Arsenal,3.3166335,6.0,71.0,1,0,0
10,449,Bruno_Borges Fernandes,MID,Man Utd,5.0553017,5.0,90.0,1,0,0
10,16,Bukayo_Saka,MID,Arsenal,4.7947693,3.0,90.0,1,0,0
10,82,Antoine_Semenyo,MID,Man City,4.2469544,2.0,90.0,1,0,0
10,299,Iliman_Ndiaye,MID,Everton,4.100081,9.0,61.0,1,0,0
10,237,Enzo_Fernández,MID,Chelsea,4.0591083,2.0,90.0,1,0,0
10,430,Erling_Haaland,FWD,Man City,6.9411187,13.0,81.0,1,1,0
10,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.467116,9.0,89.0,1,0,1
10,602,Krisztián_Hegyi,GK,West Ham,0.044680376,0.0,0.0,0,0,0
10,74,Adrien_Truffert,DEF,Bournemouth,1.6972146,2.0,90.0,0,0,0
10,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.052657958,0.0,0.0,0,0,0
10,252,Marc_Guiu Paz,FWD,Chelsea,1.5811874,0.0,0.0,0,0,0
11,670,Robin_Roefs,GK,Sunderland,3.1875727,2.0,90.0,1,0,0
11,226,Trevoh_Chalobah,DEF,Chelsea,4.041225,6.0,90.0,1,0,0
11,260,Marc_Guéhi,DEF,Man City,3.886564,0.0,0.0,1,0,0
11,575,Micky_van de Ven,DEF,Spurs,3.53778,1.0,90.0,1,0,0
11,82,Antoine_Semenyo,MID,Man City,5.3375745,0.0,90.0,1,0,0
11,237,Enzo_Fernández,MID,Chelsea,5.0476594,3.0,82.0,1,0,0
11,449,Bruno_Borges Fernandes,MID,Man Utd,4.824026,5.0,90.0,1,0,0
11,16,Bukayo_Saka,MID,Arsenal,4.822738,12.0,90.0,1,0,0
11,299,Iliman_Ndiaye,MID,Everton,4.5089855,3.0,90.0,1,0,0
11,430,Erling_Haaland,FWD,Man City,6.96069,4.0,90.0,1,1,0
11,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.429235,2.0,90.0,1,0,1
11,602,Krisztián_Hegyi,GK,West Ham,0.040657822,0.0,0.0,0,0,0
11,74,Adrien_Truffert,DEF,Bournemouth,2.4287088,0.0,62.0,0,0,0
11,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.06540834,0.0,0.0,0,0,0
11,252,Marc_Guiu Paz,FWD,Chelsea,2.0180852,1.0,13.0,0,0,0
12,670,Robin_Roefs,GK,Sunderland,3.6583533,3.0,90.0,1,0,0
12,226,Trevoh_Chalobah,DEF,Chelsea,3.8475544,6.0,90.0,1,0,0
12,74,Adrien_Truffert,DEF,Bournemouth,3.6116295,0.0,90.0,1,0,0
12,411,Nico_O'Reilly,DEF,Man City,3.2290828,1.0,90.0,1,0,0
12,16,Bukayo_Saka,MID,Arsenal,5.743078,4.0,90.0,1,0,1
12,449,Bruno_Borges Fernandes,MID,Man Utd,5.3701277,2.0,90.0,1,0,0
12,82,Antoine_Semenyo,MID,Man City,4.93285,0.0,0.0,1,0,0
12,299,Iliman_Ndiaye,MID,Everton,3.7673428,3.0,80.0,1,0,0
12,237,Enzo_Fernández,MID,Chelsea,3.3796408,11.0,90.0,1,0,0
12,430,Erling_Haaland,FWD,Man City,6.815816,2.0,90.0,1,1,0
12,283,Jean-Philippe_Mateta,FWD,Crystal Palace,5.2736025,1.0,59.0,1,0,0
12,602,Krisztián_Hegyi,GK,West Ham,0.04416878,0.0,0.0,0,0,0
12,575,Micky_van de Ven,DEF,Spurs,2.3445063,0.0,90.0,0,0,0
12,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.075823784,0.0,0.0,0,0,0
12,252,Marc_Guiu Paz,FWD,Chelsea,1.8260641,4.0,14.0,0,0,0
13,670,Robin_Roefs,GK,Sunderland,3.975913,1.0,90.0,1,0,0
13,411,Nico_O'Reilly,DEF,Man City,3.993328,4.0,90.0,1,0,0
13,8,Jurriën_Timber,DEF,Arsenal,3.5789616,2.0,90.0,1,0,0
13,575,Micky_van de Ven,DEF,Spurs,3.4913917,0.0,90.0,1,0,0
13,226,Trevoh_Chalobah,DEF,Chelsea,3.1968088,9.0,90.0,1,0,0
13,237,Enzo_Fernández,MID,Chelsea,4.7090282,2.0,90.0,1,0,0
13,449,Bruno_Borges Fernandes,MID,Man Utd,4.5615606,11.0,90.0,1,0,0
13,299,Iliman_Ndiaye,MID,Everton,4.387334,2.0,79.0,1,0,0
13,16,Bukayo_Saka,MID,Arsenal,4.326203,5.0,90.0,1,0,0
13,430,Erling_Haaland,FWD,Man City,7.113858,2.0,90.0,1,1,0
13,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.970842,13.0,90.0,1,0,1
13,602,Krisztián_Hegyi,GK,West Ham,0.040923454,0.0,0.0,0,0,0
13,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.077850245,0.0,0.0,0,0,0
13,82,Antoine_Semenyo,MID,Man City,2.2764504,1.0,90.0,0,0,0
13,252,Marc_Guiu Paz,FWD,Chelsea,0.9144466,0.0,0.0,0,0,0
14,670,Robin_Roefs,GK,Sunderland,3.2798421,3.0,90.0,1,0,0
14,8,Jurriën_Timber,DEF,Arsenal,4.991268,1.0,46.0,1,0,0
14,226,Trevoh_Chalobah,DEF,Chelsea,3.6764588,1.0,90.0,1,0,0
14,411,Nico_O'Reilly,DEF,Man City,3.142845,0.0,90.0,1,0,0
14,16,Bukayo_Saka,MID,Arsenal,5.671129,6.0,29.0,1,0,1
14,449,Bruno_Borges Fernandes,MID,Man Utd,5.4145255,4.0,90.0,1,0,0
14,82,Antoine_Semenyo,MID,Man City,5.2376866,4.0,90.0,1,0,0
14,237,Enzo_Fernández,MID,Chelsea,4.8682523,2.0,90.0,1,0,0
14,487,Harvey_Barnes,MID,Newcastle,4.3580027,3.0,65.0,1,0,0
14,430,Erling_Haaland,FWD,Man City,6.816228,14.0,90.0,1,1,0
14,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.7919693,1.0,30.0,1,0,0
14,602,Krisztián_Hegyi,GK,West Ham,0.044149257,0.0,0.0,0,0,0
14,575,Micky_van de Ven,DEF,Spurs,2.676769,0.0,0.0,0,0,0
14,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.0790411,0.0,0.0,0,0,0
14,252,Marc_Guiu Paz,FWD,Chelsea,1.403684,1.0,13.0,0,0,0
15,101,Caoimhín_Kelleher,GK,Brentford,3.507762,2.0,90.0,1,0,0
15,411,Nico_O'Reilly,DEF,Man City,4.528037,6.0,90.0,1,0,0
15,8,Jurriën_Timber,DEF,Arsenal,3.963512,3.0,90.0,1,0,0
15,226,Trevoh_Chalobah,DEF,Chelsea,3.5968564,11.0,90.0,1,0,0
15,449,Bruno_Borges Fernandes,MID,Man Utd,5.256704,18.0,90.0,1,0,1
15,16,Bukayo_Saka,MID,Arsenal,5.1664248,4.0,78.0,1,0,0
15,487,Harvey_Barnes,MID,Newcastle,4.6685867,0.0,0.0,1,0,0
15,237,Enzo_Fernández,MID,Chelsea,4.647192,3.0,90.0,1,0,0
15,82,Antoine_Semenyo,MID,Man City,4.204779,3.0,90.0,1,0,0
15,430,Erling_Haaland,FWD,Man City,6.917427,2.0,68.0,1,1,0
15,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.6561737,2.0,90.0,1,0,0
15,602,Krisztián_Hegyi,GK,West Ham,0.04455433,0.0,0.0,0,0,0
15,575,Micky_van de Ven,DEF,Spurs,2.641715,6.0,90.0,0,0,0
15,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.081272185,0.0,0.0,0,0,0
15,252,Marc_Guiu Paz,FWD,Chelsea,1.4587386,0.0,58.0,0,0,0
16,101,Caoimhín_Kelleher,GK,Brentford,3.6873784,3.0,90.0,1,0,0
16,8,Jurriën_Timber,DEF,Arsenal,4.133021,2.0,90.0,1,0,0
16,226,Trevoh_Chalobah,DEF,Chelsea,3.2542648,9.0,90.0,1,0,0
16,411,Nico_O'Reilly,DEF,Man City,2.9271042,6.0,90.0,1,0,0
16,16,Bukayo_Saka,MID,Arsenal,5.0668864,11.0,90.0,1,0,0
16,449,Bruno_Borges Fernandes,MID,Man Utd,4.921339,13.0,90.0,1,0,0
16,237,Enzo_Fernández,MID,Chelsea,3.9066782,3.0,90.0,1,0,0
16,82,Antoine_Semenyo,MID,Man City,3.7540193,6.0,90.0,1,0,0
16,273,Adam_Wharton,MID,Crystal Palace,3.02724,4.0,90.0,1,0,0
16,430,Erling_Haaland,FWD,Man City,6.5927415,13.0,90.0,1,1,0
16,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,5.1012874,2.0,90.0,1,0,1
16,602,Krisztián_Hegyi,GK,West Ham,0.035528183,0.0,0.0,0,0,0
16,575,Micky_van de Ven,DEF,Spurs,2.5530672,1.0,90.0,0,0,0
16,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.09408134,0.0,0.0,0,0,0
16,252,Marc_Guiu Paz,FWD,Chelsea,1.691183,0.0,0.0,0,0,0
17,101,Caoimhín_Kelleher,GK,Brentford,3.6994057,13.0,90.0,1,0,0
17,411,Nico_O'Reilly,DEF,Man City,3.9029489,6.0,90.0,1,0,0
17,8,Jurriën_Timber,DEF,Arsenal,3.529734,6.0,90.0,1,0,0
17,226,Trevoh_Chalobah,DEF,Chelsea,3.3900185,3.0,90.0,1,0,0
17,16,Bukayo_Saka,MID,Arsenal,5.023342,3.0,90.0,1,0,1
17,449,Bruno_Borges Fernandes,MID,Man Utd,4.9661703,1.0,45.0,1,0,0
17,82,Antoine_Semenyo,MID,Man City,4.2250724,10.0,90.0,1,0,0
17,237,Enzo_Fernández,MID,Chelsea,3.8093762,1.0,36.0,1,0,0
17,273,Adam_Wharton,MID,Crystal Palace,3.337401,3.0,90.0,1,0,0
17,430,Erling_Haaland,FWD,Man City,6.955025,16.0,90.0,1,1,0
17,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.007201,2.0,90.0,1,0,0
17,602,Krisztián_Hegyi,GK,West Ham,0.046349447,0.0,0.0,0,0,0
17,575,Micky_van de Ven,DEF,Spurs,1.8604401,0.0,90.0,0,0,0
17,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.10873522,0.0,0.0,0,0,0
17,252,Marc_Guiu Paz,FWD,Chelsea,1.3551908,0.0,0.0,0,0,0
18,101,Caoimhín_Kelleher,GK,Brentford,3.6127088,4.0,90.0,1,0,0
18,8,Jurriën_Timber,DEF,Arsenal,5.0417647,0.0,0.0,1,0,0
18,411,Nico_O'Reilly,DEF,Man City,3.6110487,1.0,90.0,1,0,0
18,226,Trevoh_Chalobah,DEF,Chelsea,3.4599283,0.0,90.0,1,0,0
18,16,Bukayo_Saka,MID,Arsenal,5.611285,7.0,90.0,1,0,1
18,450,Matheus_Santos Carneiro da Cunha,MID,Man Utd,5.049019,2.0,90.0,1,0,0
18,237,Enzo_Fernández,MID,Chelsea,4.182693,1.0,90.0,1,0,0
18,82,Antoine_Semenyo,MID,Man City,4.11954,9.0,90.0,1,0,0
18,273,Adam_Wharton,MID,Crystal Palace,3.8469954,2.0,90.0,1,0,0
18,430,Erling_Haaland,FWD,Man City,6.7610545,2.0,90.0,1,1,0
18,661,Hugo_Ekitiké,FWD,Liverpool,5.2873535,5.0,85.0,1,0,0
18,602,Krisztián_Hegyi,GK,West Ham,0.03893211,0.0,0.0,0,0,0
18,575,Micky_van de Ven,DEF,Spurs,2.4512405,11.0,90.0,0,0,0
18,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.075940736,0.0,0.0,0,0,0
18,252,Marc_Guiu Paz,FWD,Chelsea,0.60057837,0.0,0.0,0,0,0
19,101,Caoimhín_Kelleher,GK,Brentford,3.4777048,6.0,90.0,1,0,0
19,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,4.9397063,15.0,76.0,1,0,0
19,226,Trevoh_Chalobah,DEF,Chelsea,3.8839529,1.0,90.0,1,0,0
19,411,Nico_O'Reilly,DEF,Man City,3.4169552,1.0,56.0,1,0,0
19,16,Bukayo_Saka,MID,Arsenal,5.7906713,6.0,82.0,1,0,1
19,450,Matheus_Santos Carneiro da Cunha,MID,Man Utd,5.0241647,2.0,90.0,1,0,0
19,82,Antoine_Semenyo,MID,Man City,4.676246,5.0,90.0,1,0,0
19,237,Enzo_Fernández,MID,Chelsea,4.553394,9.0,90.0,1,0,0
19,273,Adam_Wharton,MID,Crystal Palace,3.5560024,2.0,90.0,1,0,0
19,430,Erling_Haaland,FWD,Man City,6.7043486,2.0,90.0,1,1,0
19,661,Hugo_Ekitiké,FWD,Liverpool,5.335907,2.0,90.0,1,0,0
19,602,Krisztián_Hegyi,GK,West Ham,0.046841588,0.0,0.0,0,0,0
19,575,Micky_van de Ven,DEF,Spurs,2.714827,6.0,90.0,0,0,0
19,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.07395068,0.0,0.0,0,0,0
19,252,Marc_Guiu Paz,FWD,Chelsea,0.26849017,0.0,0.0,0,0,0
20,101,Caoimhín_Kelleher,GK,Brentford,2.7766542,2.0,90.0,1,0,0
20,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,5.952808,9.0,90.0,1,0,1
20,575,Micky_van de Ven,DEF,Spurs,3.1802752,7.0,90.0,1,0,0
20,569,Cristian_Romero,DEF,Spurs,3.1318977,2.0,90.0,1,0,0
20,16,Bukayo_Saka,MID,Arsenal,5.3203735,4.0,23.0,1,0,0
20,82,Antoine_Semenyo,MID,Man City,4.9138227,1.0,90.0,1,0,0
20,450,Matheus_Santos Carneiro da Cunha,MID,Man Utd,4.733156,9.0,90.0,1,0,0
20,273,Adam_Wharton,MID,Crystal Palace,3.029868,4.0,86.0,1,0,0
20,237,Enzo_Fernández,MID,Chelsea,3.0148706,11.0,90.0,1,0,0
20,430,Erling_Haaland,FWD,Man City,6.847115,2.0,90.0,1,1,0
20,661,Hugo_Ekitiké,FWD,Liverpool,5.067347,0.0,0.0,1,0,0
20,602,Krisztián_Hegyi,GK,West Ham,0.05142663,0.0,0.0,0,0,0
20,226,Trevoh_Chalobah,DEF,Chelsea,2.1684554,4.0,90.0,0,0,0
20,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.0676855,0.0,0.0,0,0,0
20,252,Marc_Guiu Paz,FWD,Chelsea,0.14651881,0.0,0.0,0,0,0
21,101,Caoimhín_Kelleher,GK,Brentford,3.639234,13.0,90.0,1,0,0
21,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,4.7992635,6.0,90.0,1,0,1
21,226,Trevoh_Chalobah,DEF,Chelsea,3.2428577,3.0,90.0,1,0,0
21,575,Micky_van de Ven,DEF,Spurs,2.9857295,0.0,90.0,1,0,0
21,450,Matheus_Santos Carneiro da Cunha,MID,Man Utd,4.725835,2.0,73.0,1,0,0
21,16,Bukayo_Saka,MID,Arsenal,4.7001753,3.0,77.0,1,0,0
21,82,Antoine_Semenyo,MID,Man City,4.6561003,6.0,90.0,1,0,0
21,237,Enzo_Fernández,MID,Chelsea,4.0317783,1.0,64.0,1,0,0
21,273,Adam_Wharton,MID,Crystal Palace,3.412326,3.0,90.0,1,0,0
21,430,Erling_Haaland,FWD,Man City,7.007494,6.0,90.0,1,1,0
21,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,3.8897383,12.0,81.0,1,0,0
21,602,Krisztián_Hegyi,GK,West Ham,0.053708564,0.0,0.0,0,0,0
21,569,Cristian_Romero,DEF,Spurs,2.9458158,3.0,90.0,0,0,0
21,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.07776459,0.0,0.0,0,0,0
21,252,Marc_Guiu Paz,FWD,Chelsea,0.040740896,0.0,0.0,0,0,0
22,101,Caoimhín_Kelleher,GK,Brentford,3.6426396,1.0,90.0,1,0,0
22,5,Gabriel_dos Santos Magalhães,DEF,Arsenal,4.8105493,8.0,90.0,1,0,0
22,569,Cristian_Romero,DEF,Spurs,3.7881188,8.0,90.0,1,0,0
22,575,Micky_van de Ven,DEF,Spurs,3.2152345,0.0,90.0,1,0,0
22,226,Trevoh_Chalobah,DEF,Chelsea,2.9680402,8.0,90.0,1,0,0
22,382,Florian_Wirtz,MID,Liverpool,5.368913,10.0,90.0,1,0,1
22,16,Bukayo_Saka,MID,Arsenal,4.310343,1.0,33.0,1,0,0
22,237,Enzo_Fernández,MID,Chelsea,3.8593605,6.0,84.0,1,0,0
22,82,Antoine_Semenyo,MID,Man City,3.2869735,2.0,90.0,1,0,0
22,430,Erling_Haaland,FWD,Man City,6.8743625,2.0,79.0,1,1,0
22,136,Igor Thiago_Nascimento Rodrigues,FWD,Brentford,4.698969,2.0,90.0,1,0,0
22,602,Krisztián_Hegyi,GK,West Ham,0.045700576,0.0,0.0,0,0,0
22,78,Julián_Araujo Zúñiga,DEF,Bournemouth,0.065933846,0.0,0.0,0,0,0
22,273,Adam_Wharton,MID,Crystal Palace,2.9627044,1.0,90.0,0,0,0
22,252,Marc_Guiu Paz,FWD,Chelsea,0.051530752,0.0,0.0,0,0,0
23,101,Caoimhín_Kelleher,GK,Brentford,3.722468,1.0,90.0,1,0,0
